evidence_id,title,doi,primary_url,donor_or_organism,life_stage,salinity_chemistry,salinity_concentration,ec_context,exposure_duration,experimental_unit,sample_size,endpoint,reported_effect,effect_units_context,limitation,evidence_tier,retrieval_date,source_sha256,source_sha256_status,source_reference_identity,metadata_basis,program_assumptions
"EV_ROOTSTOCK_SCREEN_2020","Linking diverse salinity responses of 14 almond rootstocks with physiological, biochemical, and genetic determinants","10.1038/s41598-020-78036-4","https://doi.org/10.1038/s41598-020-78036-4","14 commercial Prunus rootstocks used for almond","Non-grafted pot-grown juvenile rootstocks in 1.5-gallon one-plant pots","Municipal-water nutrient control plus four distinct source-reported mixed-ion recipes: Na-sulfate; Na-chloride; Na-chloride/sulfate; and Ca/Mg-chloride/sulfate","Treatment-specific meq/L recipe; not an NaCl-equivalent conversion","ECiw 1.36 dS/m control and ECiw 3.0 dS/m for each saline recipe; pH 7.3-7.6","10 months; leaf ion and physiology measurements at 8 weeks","One plant in one pot; blocks and pots are design levels and leaves are subsamples","630 trees = 14 genotypes x 5 waters x 3 blocks x 3 one-plant pots; gas exchange n=6 leaves per genotype-water cell","Survival; trunk diameter; leaf ions; gas exchange; chlorophyll; biochemical markers; expression of 23 salt-response genes","Na-chloride caused the greatest survival and trunk-diameter reduction; Empyrean 1 and several peach-almond hybrids were relatively tolerant and performance related to leaf Na and Cl exclusion","Survival and trunk-diameter outcomes plus source-reported tissue-ion and physiological units; no single construct effect","Moderate-EC juvenile rootstock association study; not seawater, not grafted fruiting yield, and not causal evidence for any locus","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.1038/s41598-020-78036-4","mixed_source_reported_and_program_assumption","AlmondLab uses this as a chassis and calibration anchor only; it assumes no candidate efficacy"
"EV_ROOT_GRADIENT_2021","Investigation of Salt Tolerance Mechanisms Across a Root Developmental Gradient in Almond Rootstocks","10.3389/fpls.2020.595055","https://doi.org/10.3389/fpls.2020.595055","Empyrean-1, Controller-5, and Krymsk-86 Prunus rootstocks","Young rootstocks; root developmental zones Z0-Z2","NaCl-only treatments","0, 50, and 150 mM NaCl","not_reported","13-day phenotype; 3-day Na imaging, suberin/lignin, and gene-expression exposure; viability at 3 and 13 days","Plant for growth; root image or sampled root zone is a subsample","Growth n=5; imaging/viability n=15 signals or samples as reported; gene expression at least 3 biological replicates","Root and leaf growth; Na localization; viability; suberin/lignin; salt-related expression","Empyrean-1 showed lower cortical Na signal, earlier barrier deposition, and higher viability than comparators under NaCl challenge","Source-reported relative imaging, anatomy, viability, and expression context","Acute juvenile NaCl-only study with imaging proxies; no mult-ion chemistry, causal KCS1 locus, yield, or food-safety result","E4","2026-08-12","not_available","primary_source_not_archived","doi:10.3389/fpls.2020.595055","mixed_source_reported_and_program_assumption","E4 barrier and transporter hypotheses are AlmondLab assignments; the source does not identify a construct-ready KCS1 locus"
"EV_ROOTPAC40_TRANSCRIPTOME_2022","Morphological, physiological, biochemical, and transcriptome studies reveal the importance of transporters and stress signaling pathways during salinity stress in Prunus","10.1038/s41598-022-05202-1","https://doi.org/10.1038/s41598-022-05202-1","Rootpac 40 and Nemaguard rootstocks","Approximately one-year-old rootstocks","Riverside city-water control and Na/Cl-dominant saline irrigation; complete mixed-ion recipe is in Supplementary Table S12","source_reported_recipe_in_supplement_not_transcribed_here","EC 1.36 dS/m control and EC 3.0 dS/m saline water","10 months whole-plant treatment; RNA-seq roots and leaves at 48 hours; physiology at 8 weeks","One plant per biological replicate; tissue and sequencing measurements are subsamples","3 biological replicates per reported physiological, ion, and RNA-seq comparison; 24 repository runs across the factorial design","Survival; trunk diameter; leaf ions; proline; gas exchange; root/leaf RNA-seq","Rootpac 40 survival was 90.6% versus 38.9% for Nemaguard in the saline treatment and Rootpac 40 accumulated less leaf Na and Cl","Percent survival and source-reported ion, physiological, and expression contexts","Two rootstocks and three biological replicates; repository metadata do not map runs to treatments; no grafted fruiting result and no Rootpac 40 allele is sequence-verified by expression association","E4","2026-08-12","not_available","primary_source_not_archived","doi:10.1038/s41598-022-05202-1","mixed_source_reported_and_program_assumption","Associated genes remain E4 program hypotheses; no expression association is treated as causal efficacy"
"EV_PRUNUS_SOS_MAP_2024","Understanding the salt overly sensitive pathway in Prunus: Identification and characterization of NHX, CIPK, and CBL genes","10.1002/tpg2.20371","https://doi.org/10.1002/tpg2.20371","Six Rosaceae species with functional assays focused on Prunus persica","Root and leaf source material plus yeast interaction assays; exact plant age not_reported","Control irrigation and Na/Cl-dominant saline irrigation in the linked Prunus expression context","complete ion recipe not_reported in the registry source extraction","EC 1.36 dS/m control and EC 3.0 dS/m saline context","48 hours for the reported salinity expression context; interaction-assay duration not_applicable","Plant biological replicate for expression; yeast interaction assay unit is assay-specific and not_reported","not_reported for each assay in the accessible audited record","Genome-wide NHX/CIPK/CBL identification; expression; yeast two-hybrid interaction among PpSOS proteins","The source identified PpSOS1, PpSOS2, and PpSOS3 and reported direct PpSOS3-PpSOS2 and PpSOS2-PpSOS1 C-terminal interactions","Interaction and relative-expression context; no stable-plant efficacy effect size","Interaction and expression evidence do not establish directional Na transport, compatible full-complex activation, or almond efficacy; nomenclature conflicts require accession anchoring","E4","2026-08-12","not_available","primary_source_not_archived","doi:10.1002/tpg2.20371","mixed_source_reported_and_program_assumption","AlmondLab assigns E4 to interaction-only prequalification records and does not infer efficacy"
"EV_ALMOND_HAIRY_ROOT_2024","Genome editing in almond using hairy root transformation system","10.1007/s11240-024-02935-x","https://doi.org/10.1007/s11240-024-02935-x","Prunus dulcis seedlings and almond x peach hybrids; no donor construct candidate","Composite plants with wild-type shoots and transformed hairy roots","No salinity challenge","not_applicable","not_applicable","Roots subcultured every 4-5 weeks; composite plants moved to soil after about 1 month","Composite plant and transformed hairy-root event; event independence is not fully established by the small feasibility study","6 screened composite plants in the audited public-data record; reported transformation rate 41 +/- 7%","Hairy-root induction; VENUS signal; CRISPR screening for ERF74 and GAI","Composite plants and edited hairy roots were recovered, supporting method feasibility","41 +/- 7% transformation rate as reported; six composite plants, not an efficacy sample","Composite roots are not stable rootstocks; limited replication; the cited Zenodo sequences/chromatograms DOI 10.5281/zenodo.10945763 returned HTTP 410 Gone","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.1007/s11240-024-02935-x","source_reported","none"
"EV_ALMOND_STABLE_TRANSFORM_1999","Transgenic almond (Prunus dulcis Mill.) plants obtained by Agrobacterium-mediated transformation of leaf explants","10.1007/s002990050591","https://doi.org/10.1007/s002990050591","Prunus dulcis leaf explants; no Paper 1 donor candidate","Regenerated micropropagated shoots","No salinity treatment","not_applicable","not_applicable","not_reported for the complete regeneration workflow in the audited seed","Regenerated shoot or clone; independence and chimerism are limitations","4 regenerated shoots A-D reached molecular assessment; only clone D was consistently positive","GUS; PCR; Southern blot; chimerism assessment","One clone yielded evidence compatible with stable integration; three appeared chimeric","One of four assessed shoots with consistent molecular evidence; no salinity effect","Old low-throughput feasibility report with chimerism; not a current reproducible regeneration protocol or salinity phenotype","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.1007/s002990050591","source_reported","none"
"EV_ECTOCARPUS_MANNITOL_2020","Low Mannitol Concentrations in Arabidopsis thaliana Expressing Ectocarpus Genes Improve Salt Tolerance","10.3390/plants9111508","https://doi.org/10.3390/plants9111508","Ectocarpus sp. Ec32","Three independent fifth-generation stable Arabidopsis thaliana Col-0 double-transgenic lines; soil assay began with 15-day-old plants","NaCl added to the Arabidopsis growth treatment; not seawater or a complete multi-ion recipe","100 mM NaCl","not_reported","10 days after irrigation for the reported 25-day-old soil-plant phenotype","Independent stable transgenic line for construct generalization; individual plants are units for within-line phenotype precision","3 independent stable double-transgenic lines EsM1-EsM3; soil-plant biomass and electrolyte-leakage figure reports n=30","Transgene expression; LC-MS mannitol; fresh and dry weight; electrolyte leakage; heat phenotype; transcriptomics","Mannitol-producing lines had higher fresh and dry weight and lower electrolyte leakage than wild type under 100 mM NaCl; low mannitol was detected and salt-responsive transcriptional changes were reported","Fresh and dry weight and electrolyte leakage in source units; figure n=30; mannitol and transcript fold-change context is assay specific","Constitutive paired-gene expression in Arabidopsis does not isolate enzymes, establish carbon cost in woody roots, or complete the legacy Esi sequence crosswalk","E2","2026-08-12","not_available","primary_source_not_archived","doi:10.3390/plants9111508","mixed_source_reported_and_program_assumption","E2 is a program tier; no almond or sequence-crosswalk efficacy is inferred"
"EV_ECTOCARPUS_ESI0056_2021","A Novel Protein from Ectocarpus sp. Improves Salinity and High Temperature Stress Tolerance in Arabidopsis thaliana","10.3390/ijms22041971","https://doi.org/10.3390/ijms22041971","Ectocarpus sp. Ec32","Fifth-generation stable Arabidopsis thaliana lines: two 35S lines and three RD29A stress-inducible lines; four-day-old seedlings and 13-day-old peat-grown plants were assayed","Half-strength MS plus NaCl for plates; peat pellets irrigated once with 200 mM NaCl to establish about 100 mM in the substrate","100 mM NaCl in plate and maintained-substrate assays","not_reported","Plate outcomes at 7 or 9 days after transfer; peat-grown plants assessed through 3 weeks; electrolyte leakage at 24 and 48 hours","Independent stable line for construct-level inference; seedling or peat-grown plant is the within-line biological unit","5 independent lines; plate assays repeated 3 times with 30 plants per treatment (n=90); peat assay repeated 3 times with 5 plants per treatment (n=15)","Root length; lateral roots; fresh and dry weight; chlorosis; electrolyte leakage; stress-related qPCR; protein expression","All five transgenic lines performed better than wild type under 100 mM NaCl; peat-grown transgenics had greater biomass and reduced electrolyte leakage, with no consistent standard-condition growth advantage","Source-reported root, biomass, chlorosis, and leakage measures; plate n=90 and peat n=15","Protein function and mechanism remain unknown; land-plant phenotype does not establish woody-root ion fate, direct transport, or safe target-chassis dose","E3","2026-08-12","not_available","primary_source_not_archived","doi:10.3390/ijms22041971","mixed_source_reported_and_program_assumption","E3 and root-preferred prequalification are program assignments; no direct transport mechanism is inferred"
"EV_PYKPA1_2013","Functional expression of an animal type-Na+-ATPase gene from a marine red seaweed Porphyra yezoensis increases salinity tolerance in rice plants","10.5511/plantbiotechnology.13.0517a","https://doi.org/10.5511/plantbiotechnology.13.0517a","Porphyra yezoensis, current synonym Neopyropia yezoensis","Stable Oryza sativa cv. Nipponbare T2 transformants at third-leaf stage; two lines #28 and #115","MS medium plus NaCl; no complete seawater chemistry","50 mM NaCl","not_reported","12 days","Independent rice transformation line for construct generalization; individual plant for biomass","n=12 plants for fresh-weight comparison; 2 transformed lines","Total and root fresh biomass; transcript; transient localization; plasma-membrane ATPase activity","Under 50 mM NaCl the null lost about 20% total biomass; lines #28 and #115 changed about +8% and -10% from their unsalted conditions and neither change was reported significant; vanadate-sensitive Na+-ATPase activity was reported","Percent total fresh-biomass change and enzyme-activity context","Two rice events and acute single-salt tissue culture; transport stoichiometry, energy burden, effluent ion fate, woody-root function, Cl, and B were not established","E2","2026-08-12","not_available","primary_source_not_archived","doi:10.5511/plantbiotechnology.13.0517a","mixed_source_reported_and_program_assumption","E2 is a program tier; the animal-type Na/K ATPase label and almond transport direction remain hypotheses"
"EV_PYAPX_2026","Physiological, biochemical, and transcriptomic analyses revealed enhanced salt tolerance in rice via heterologous expression of Pyropia yezoensis APX gene","10.1016/j.plaphy.2025.110839","https://doi.org/10.1016/j.plaphy.2025.110839","Pyropia yezoensis; PyMnSOD and PyAPX donors, with Kappaphycus alvarezii KaNa+/H+ comparator","Stable transgenic rice cultivar ZH11; source-reported recovered homozygous T1 inventory comprised 12 PyAPX, 11 PyMnSOD, and 9 KaNa+/H+ lines","NaCl-only challenge; complete multi-ion chemistry was not reported","250 mM NaCl","not_reported","250 mM NaCl applied every 3 days; germination read day 10; other assay-specific endpoints followed the source schedule","Replicate dish for germination; independent line/event allocation for other endpoints not_reported","Germination used 30 seeds per dish x 3 replicate dishes; other endpoint-specific independent-line n not_reported","Germination; growth; ROS and oxidative damage; ion-homeostasis measures; transcriptomics and WGCNA","The source reports that PyAPX-overexpressing rice had stronger salt-stress phenotypes than the PyMnSOD and KaNa+/H+ comparators, including germination, growth, ROS-damage, and ion-homeostasis readouts","Source-reported germination dish design and recovered-line inventory under 250 mM NaCl; the 12/11/9 inventory is not endpoint experimental n; effects remain heterologous-rice evidence, not almond efficacy or a program ranking","Paper-reported accessions and independently verified repository records do not establish the exact targeting sequence, construct map, or event-to-construct mapping; the paper calls the KaNa+/H+ MT473962 cloned material a full-length coding sequence while NCBI resolves MT473962.1 as a partial CDS; complete multi-ion chemistry and almond ion-fate evidence remain unavailable","E2","2026-08-13","not_available","primary_source_not_archived","doi:10.1016/j.plaphy.2025.110839","mixed_source_reported_and_program_assumption","The paper reports PyAPX AY282755.1, PyMnSOD DQ146477.2, and KaNa+/H+ MT473962 (unversioned), calling the latter cloned material a full-length coding sequence; independent repository retrieval verifies AY282755.1 and DQ146477.2 and resolves MT473962.1 as a partial CDS. These records are not construct-ready because targeting, construct-map, and event validation remain unresolved; E2 is a provisional phenotype tier and authorizes no order or optimization"
